18	2	16384	34.588107	8.887468e-09
36	1	16384	34.052806	8.887468e-09
12	3	16384	35.218097	8.887468e-09
9	4	16384	35.736186	8.887468e-09
6	6	16384	36.811740	8.887468e-09
3	12	16384	39.195638	8.887468e-09
36	1	16384	33.910829	8.887468e-09
18	2	16384	34.620202	8.887468e-09
9	4	16384	35.167989	8.887468e-09
12	3	16384	34.681926	8.887468e-09
6	6	16384	36.130911	8.887468e-09
3	12	16384	38.195658	8.887468e-09
36	1	16384	33.945567	8.887468e-09
18	2	16384	34.334041	8.887468e-09
12	3	16384	34.984949	8.887468e-09
9	4	16384	35.274069	8.887468e-09
6	6	16384	36.302945	8.887468e-09
3	12	16384	38.051391	8.887468e-09
18	2	16384	34.301518	8.887468e-09
12	3	16384	34.886179	8.887468e-09
9	4	16384	35.433319	8.887468e-09
6	6	16384	36.117372	8.887468e-09
3	12	16384	37.854277	8.887468e-09
36	1	16384	49.897729	8.887468e-09
18	2	16384	34.457512	8.887468e-09
36	1	16384	34.020005	8.887468e-09
12	3	16384	34.922014	8.887468e-09
9	4	16384	35.210637	8.887468e-09
6	6	16384	36.056630	8.887468e-09
3	12	16384	38.385324	8.887468e-09
12	3	16384	34.636114	8.887468e-09
18	2	16384	34.507773	8.887468e-09
9	4	16384	35.416324	8.887468e-09
6	6	16384	36.400001	8.887468e-09
3	12	16384	38.071719	8.887468e-09
18	2	16384	34.399123	8.887468e-09
36	1	16384	33.939994	8.887468e-09
9	4	16384	35.237880	8.887468e-09
12	3	16384	35.278405	8.887468e-09
6	6	16384	36.210150	8.887468e-09
3	12	16384	38.071764	8.887468e-09
36	1	16384	33.960089	8.887468e-09
18	2	16384	34.508900	8.887468e-09
12	3	16384	34.915536	8.887468e-09
9	4	16384	35.225795	8.887468e-09
6	6	16384	36.081822	8.887468e-09
36	1	16384	33.964678	8.887468e-09
12	3	16384	34.738045	8.887468e-09
18	2	16384	34.757466	8.887468e-09
9	4	16384	35.200164	8.887468e-09
6	6	16384	36.229957	8.887468e-09
3	12	16384	48.405669	8.887468e-09
36	1	16384	33.951930	8.887468e-09
3	12	16384	38.116409	8.887468e-09
18	2	16384	34.569428	8.887468e-09
12	3	16384	34.965900	8.887468e-09
9	4	16384	35.076141	8.887468e-09
36	1	16384	33.951600	8.887468e-09
3	12	16384	37.809846	8.887468e-09
6	6	16384	40.598961	8.887468e-09
